Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
53313,1742377,G551346,09/14/2001 09:00:00 AM,034XX N CLAREMONT AV,0810,THEFT,OVER $500,OTHER,False,False,1913,19.0,,,06,1160143.0,1922557.0,2001,08/17/2015 03:03:40 PM,41.943204739,-87.686798485,"(41.943204739, -87.686798485)"
53314,7906310,HS578290,10/17/2010 09:00:00 PM,012XX N BOSWORTH AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1433,14.0,1.0,24.0,06,1165860.0,1908390.0,2010,02/10/2018 03:50:01 PM,41.904209414,-87.666190815,"(41.904209414, -87.666190815)"
53315,6400835,HP477177,07/27/2008 03:18:30 AM,033XX N SHEFFIELD AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,TAVERN/LIQUOR STORE,False,False,1924,19.0,44.0,6.0,10,1169015.0,1922456.0,2008,02/28/2018 03:56:25 PM,41.942739334,-87.654192526,"(41.942739334, -87.654192526)"
53316,5080933,HM683297,10/24/2006 10:30:00 AM,029XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,COMMERCIAL / BUSINESS OFFICE,False,False,2521,25.0,31.0,19.0,07,1143862.0,1919335.0,2006,02/28/2018 03:56:25 PM,41.93468465,-87.746720868,"(41.93468465, -87.746720868)"
53317,7319011,HS123294,01/16/2010 02:00:00 PM,053XX W WASHINGTON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1522,15.0,28.0,25.0,08B,1140856.0,1900236.0,2010,02/10/2018 03:50:01 PM,41.882330734,-87.758238691,"(41.882330734, -87.758238691)"
53318,7534767,HS338438,05/19/2010 01:57:00 PM,015XX N LAKE SHORE DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,1824,18.0,43.0,8.0,26,1176722.0,1910731.0,2010,02/10/2018 03:50:01 PM,41.910394484,-87.62622133,"(41.910394484, -87.62622133)"
53319,3066840,HJ786617,10/31/2002 12:01:00 AM,021XX E 93RD ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,True,False,413,4.0,7.0,48.0,02,1192281.0,1843729.0,2002,02/28/2018 03:56:25 PM,41.726171336,-87.571247708,"(41.726171336, -87.571247708)"
53320,11919747,JC544444,09/03/2019 02:33:00 AM,023XX N CALIFORNIA AVE,0460,BATTERY,SIMPLE,ALLEY,False,False,1431,14.0,1.0,22.0,08B,1157311.0,1915583.0,2019,12/15/2019 03:45:01 PM,41.924125733,-87.697397656,"(41.924125733, -87.697397656)"
53321,7687213,HS493225,09/01/2010 09:00:00 AM,037XX S EMERALD AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,925,9.0,11.0,60.0,06,1171913.0,1880178.0,2010,02/10/2018 03:50:01 PM,41.826662267,-87.644787874,"(41.826662267, -87.644787874)"
53322,6883875,HR290750,04/27/2009 05:30:00 PM,076XX N MARSHFIELD AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,True,False,2422,24.0,49.0,1.0,26,1163977.0,1950563.0,2009,02/28/2018 03:56:25 PM,42.019973942,-87.671911768,"(42.019973942, -87.671911768)"
53323,10003093,HY192449,03/20/2015 08:34:00 PM,072XX S DORCHESTER AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,324,3.0,5.0,43.0,18,1186798.0,1857094.0,2015,02/10/2018 03:50:01 PM,41.762977683,-87.590909694,"(41.762977683, -87.590909694)"
